Booking_ID,Guest_ID,Hotel_ID,Booking_Date,Checkin_Date,Nights,Rooms_Booked,Channel,Status,Room_Rate,Discount_Pct
20000001,1501679.0,161657.0,2024-09-07 12:52:16,2023-01-10 05:04:41,3,4,App,Completed,37887.88,0
20000002,1510791.0,161791.0,2025-07-24 10:07:39,2025-12-03 06:07:28,14,3,Website,Confirmed,13012.35,10
20000003,1529593.0,160692.0,2025-09-30 10:12:13,2024-03-28 17:23:36,10,3,OTA,Confirmed,11772.03,0
20000004,1513919.0,160300.0,2023-07-20 02:19:27,2023-08-02 15:46:47,10,1,App,Completed,10988.85,25
20000005,1539008.0,160683.0,2023-07-27 00:28:23,2023-10-14 22:15:34,6,3,Website,Cancelled,6629.37,20
20000006,1527291.0,160707.0,2023-01-03 12:49:58,2024-02-05 07:37:51,8,4,App,Confirmed,27665.09,25
20000007,1537052.0,161103.0,2025-01-20 00:59:56,2025-07-15 03:57:06,9,2,Website ,Completed,34220.58,0
20000008,1538916.0,161834.0,2023-11-10 17:42:49,2024-07-19 11:49:00,7,1,Corporate,Completed,41696.22,0
20000009,1505853.0,161163.0,2025-02-09 06:27:49,2024-07-05 07:38:42,11,2,Website,Confirmed,10716.04,20
20000010,1502529.0,161227.0,2024-10-24 16:44:12,2023-11-09 07:37:46,4,2,Corporate,Cancelled,3392.85,15
20000011,1513471.0,161155.0,2023-06-03 22:09:44,2025-07-12 02:30:16,1,1,OTA,Completed,24330.96,20
20000012,1516790.0,160861.0,2023-12-18 17:51:42,2023-04-13 20:56:40,3,4,Website,No Show,30606.54,5
20000013,1519850.0,161477.0,2025-05-03 22:43:58,2023-12-05 22:09:21,13,3,App,No Show,40146.09,20
20000014,1520751.0,160028.0,2024-05-05 23:13:17,2025-02-28 01:22:57,10,3,OTA,Confirmed,27627.28,15
20000015,1531522.0,161756.0,2025-06-30 14:57:32,2025-03-29 22:29:14,4,4,Travel Agent,Confirmed,35512.29,25
20000016,1536750.0,160385.0,2024-11-22 15:11:17,2024-09-02 17:05:04,8,1,Travel Agent,Confirmed,32529.82,5
20000017,1529625.0,160360.0,2023-10-03 05:35:19,2024-11-08 07:34:30,1,1,Website,Confirmed,38031.55,25
20000018,1525258.0,161964.0,2023-06-01 00:55:43,2023-07-21 01:17:32,1,2,Corporate,Completed,16830.57,0
20000019,1510814.0,161518.0,2023-10-17 16:41:16,2024-05-21 02:55:12,5,4,Travel Agent,Completed,10798.37,25
20000020,1536741.0,160400.0,2024-04-28 01:42:47,2023-11-25 23:47:53,9,2,Travel Agent,Completed,11705.38,15
20000021,1509512.0,161831.0,2024-02-12 05:51:27,2025-09-19 07:40:01,5,2,OTA,Confirmed,37567.77,10
20000022,1529675.0,160160.0,2024-09-06 02:22:06,2023-08-08 09:54:43,4,3,Corporate,Confirmed,44430.41,15
20000023,1525687.0,160877.0,2024-11-22 18:50:00,2025-07-31 13:30:29,11,3,OTA,Completed,12074.72,0
20000024,1507134.0,160180.0,2023-04-06 07:40:26,2023-01-19 03:12:00,11,4,Corporate,Cancelled,33136.76,25
20000025,1520428.0,161594.0,2025-08-11 19:20:20,2023-08-27 19:24:35,7,1,App,Cancelled,43399.88,5
20000026,1526766.0,160804.0,2024-01-12 00:06:16,2023-01-17 17:20:22,7,1,Corporate,Confirmed,2002.58,20
20000027,1506533.0,161980.0,2024-10-22 02:40:28,2023-01-21 14:20:42,11,1,OTA,Confirmed,7116.69,20
20000028,1526046.0,160347.0,2025-04-09 22:20:47,2023-10-10 22:55:34,10,1,OTA,Confirmed,13509.91,15
20000029,1520870.0,161889.0,2023-09-14 14:23:48,2024-06-01 02:36:34,9,3,Corporate,Confirmed,38844.43,0
20000030,1533757.0,160915.0,2025-06-05 16:14:37,2024-10-31 15:43:17,8,1,Travel Agent,Completed,9328.77,0
20000031,1510763.0,160381.0,2025-11-21 14:18:56,2024-06-22 21:29:21,9,1,Website,Completed,3174.73,25
20000032,1523388.0,160187.0,2024-12-11 23:45:05,2023-06-12 12:45:53,8,4,Travel Agent,Confirmed,14389.68,20
20000033,1508256.0,160575.0,2023-02-18 17:36:10,2024-12-28 16:27:44,13,2,OTA,Completed,14004.84,5
20000034,1532508.0,161730.0,2024-10-12 19:47:42,2023-11-15 15:29:07,10,1,App,Confirmed,23589.19,20
20000035,1523658.0,,2025-03-03 00:31:46,2023-02-25 20:52:15,7,2,Corporate,Confirmed,18663.52,15
20000036,1516501.0,160506.0,2024-02-26 06:27:13,2023-08-11 02:09:09,14,3,Corporate,Completed,2743.51,10
20000037,1526845.0,161346.0,2023-05-07 23:38:17,2025-06-04 04:39:56,11,2,Travel Agent,Confirmed,34768.45,0
20000038,1534974.0,160864.0,2025-06-16 05:05:49,2025-03-27 02:30:51,7,2,Website,Completed,9265.32,15
20000039,1529173.0,160505.0,2024-02-20 13:19:34,2024-05-10 15:30:08,11,3,OTA,Completed,39564.87,20
20000040,1509571.0,160783.0,2024-06-03 11:00:55,2023-11-11 05:38:10,13,2,OTA,Completed,20958.75,20
20000041,1501180.0,161747.0,2023-04-24 07:10:03,2025-04-05 11:43:42,10,3,App,Completed,18609.28,0
20000042,1539792.0,160033.0,2023-06-01 02:57:49,2023-04-05 18:05:32,12,2,OTA,Completed,23459.88,15
20000043,1509428.0,160659.0,2025-11-14 20:14:23,2023-03-20 02:48:19,8,4,Travel Agent,Confirmed,42472.76,25
20000044,1519367.0,160538.0,2025-10-03 19:31:33,2023-01-15 19:36:05,5,2,Website,Confirmed,19430.44,25
20000045,1525995.0,161333.0,2024-10-31 14:19:14,2024-07-11 21:27:26,12,4,Corporate,Cancelled,29201.23,10
20000046,1520740.0,161267.0,2024-07-02 14:47:49,2024-10-22 17:55:37,13,1,Corporate,Confirmed,29915.0,0
20000047,1520100.0,161375.0,2025-02-18 00:35:37,2025-07-27 03:11:46,4,1,Website,Confirmed,20529.39,20
20000048,1527255.0,161263.0,2024-03-29 07:28:03,2023-11-17 14:49:11,6,1,Corporate,No Show,33845.38,15
20000049,1521243.0,160417.0,2025-06-21 05:53:09,2024-09-15 16:01:50,10,3,OTA,Cancelled,16695.53,15
20000050,1506312.0,161677.0,2024-02-17 22:56:56,2025-09-15 10:53:56,13,1,Website,Confirmed,32518.97,25
20000051,1508165.0,161886.0,2023-01-12 08:59:28,2024-06-19 17:34:39,1,1,Website,Cancelled,36280.85,15
20000052,1503628.0,160251.0,2024-11-16 01:28:22,2023-02-05 09:47:28,8,3,Website,Completed,5349.41,20
20000053,1532585.0,,2025-10-24 17:29:37,2023-04-16 13:21:27,3,2,Website,Confirmed,22707.34,10
20000054,1514468.0,161338.0,2023-08-22 14:22:55,2025-07-01 16:54:17,14,3,Corporate,Confirmed,27560.61,10
20000055,1533714.0,160471.0,2023-12-12 09:32:19,2024-06-13 19:08:30,6,1,Travel Agent,Completed,13675.36,0
20000056,1533207.0,161236.0,2025-10-15 16:15:25,2023-06-10 20:27:31,6,4,App,No Show,21682.06,25
20000057,1522527.0,161210.0,2024-12-01 19:47:58,2024-10-13 06:20:43,7,1,App,Confirmed,20537.25,5
20000058,1501988.0,161695.0,2025-11-23 19:50:01,2023-12-12 11:27:54,13,2,App,Confirmed,10987.19,25
20000059,1512137.0,161963.0,2023-06-18 02:07:54,2023-08-14 21:22:04,1,4,Corporate,Confirmed,24970.39,25
20000060,1527169.0,160138.0,2023-01-30 11:15:56,2025-01-17 08:53:52,11,1,Travel Agent,Confirmed,35948.28,20
20000061,1524026.0,160127.0,2024-01-11 08:32:17,2025-04-12 20:23:13,9,1,OTA,Cancelled,12495.85,5
20000062,1501927.0,160929.0,2025-04-19 05:36:56,2024-09-02 12:41:04,2,3,Website,Confirmed,12104.1,20
20000063,1509767.0,160749.0,2023-02-05 14:09:05,2025-06-07 10:04:00,6,1,Website,Confirmed,5164.52,10
20000064,1539340.0,161291.0,2023-03-13 08:12:41,2023-01-07 17:44:02,8,4,OTA,Confirmed,18590.75,0
20000065,1529568.0,160701.0,2025-07-01 05:18:22,2023-04-17 11:12:47,13,2,Travel Agent,Confirmed,31376.83,10
20000066,1502457.0,161056.0,2024-09-11 17:13:19,2023-02-02 19:44:22,1,1,Travel Agent,Confirmed,40470.41,20
20000067,1526972.0,161411.0,2025-05-18 10:33:58,2024-02-29 15:10:52,11,1,Corporate,Confirmed,30497.24,15
