Guest_ID,Guest_Name,Age,Country,City,Loyalty_Tier,Signup_Date
1500001,Guest_0,56.0,Canada,Jaipur,Platinum,2018-08-07 03:06:21
1500002,Guest_1,23.0,USA,Delhi,None,2023-07-03 08:58:06
1500003,Guest_2,63.0,Canada,Goa,None,2021-07-09 19:07:03
1500004,Guest_3,41.0,India,Mumbai,Gold,2023-08-21 12:05:53
1500005,Guest_4,44.0,Australia,Mumbai,Platinum,2021-06-12 09:07:44
1500006,Guest_5,19.0,India,Dubai,None,2021-05-22 04:48:23
1500007,Guest_6,34.0,Canada,Delhi,None,2020-04-12 03:48:10
1500008,Guest_7,38.0,Germany,Goa,Silver,2022-09-29 05:25:14
1500009,Guest_8,41.0,Canada,Mumbai,None,2019-10-22 02:04:39
1500010,Guest_9,22.0,UAE,Mumbai,None,2018-10-03 02:29:18
1500011,Guest_10,29.0,UK,Goa,Silver,2019-07-12 21:41:23
1500012,Guest_11,63.0,Germany,Bengaluru,None,2023-04-13 08:19:12
1500013,Guest_12,42.0,UK,Mumbai,None,2023-03-15 13:59:03
1500014,Guest_13,39.0,Germany,Delhi,Silver,2023-07-15 02:33:54
1500015,Guest_14,,USA,Delhi,None,2018-01-25 18:07:00
1500016,Guest_15,21.0,Singapore,Jaipur,None,2020-10-21 11:42:41
1500017,Guest_16,35.0,Germany,Jaipur,None,2018-02-03 04:19:46
1500018,Guest_17,59.0,Australia,Goa,Gold,2018-10-20 08:40:51
1500019,Guest_18,39.0,Canada,Singapore,Gold,2019-09-24 03:33:06
1500020,Guest_19,35.0,USA,Jaipur,Gold,2024-11-14 16:08:42
1500021,Guest_20,33.0,UAE,Goa,Silver,2018-12-17 15:54:23
1500022,Guest_21,37.0,India,Mumbai,None,2020-01-18 03:28:26
1500023,Guest_22,28.0,Germany,Delhi,None,2018-09-11 05:49:56
1500024,Guest_23,57.0,USA,Dubai,Silver,2024-08-02 16:09:58
1500025,Guest_24,57.0,Australia,London,Gold,2019-12-31 00:01:46
1500026,Guest_25,42.0,USA,London,Silver,2018-08-08 04:20:14
1500027,Guest_26,42.0,Singapore,Mumbai,None,2019-12-13 19:42:16
1500028,Guest_27,21.0,UK,Bengaluru,Silver,2019-01-08 22:53:56
1500029,Guest_28,75.0,Germany,Dubai,Silver,2020-06-29 09:56:40
1500030,Guest_29,18.0,Australia,Bengaluru,Platinum,2021-07-12 18:40:45
1500031,Guest_30,24.0,Germany,Jaipur,None,2024-02-21 22:36:59
1500032,Guest_31,38.0,Canada,Mumbai,None,2022-02-25 01:42:41
1500033,Guest_32,48.0,Germany,London,None,2021-05-30 11:28:16
1500034,Guest_33,54.0,India,Dubai,Silver,2020-01-10 12:29:15
1500035,Guest_34,32.0,Germany,Dubai,None,2018-04-01 05:35:13
1500036,Guest_35,52.0,Germany,Jaipur,None,2022-02-10 16:27:40
1500037,Guest_36,33.0,Germany,London,None,2019-08-18 19:41:14
1500038,Guest_37,44.0,Singapore,Dubai,Platinum,2024-11-21 03:00:36
1500039,Guest_38,,USA,London,Silver,2021-04-11 14:33:23
1500040,Guest_39,52.0,India,London,None,2019-06-18 03:29:55
1500041,Guest_40,20.0,UK,Jaipur,Silver,2022-07-03 15:20:13
1500042,Guest_41,18.0,India,Dubai,Platinum,2022-02-28 09:57:30
1500043,Guest_42,42.0,India,Delhi,Silver,2020-12-13 20:55:28
1500044,Guest_43,33.0,Canada,Mumbai,Silver,2020-01-13 23:10:24
1500045,Guest_44,71.0,Singapore,Mumbai,None,2023-10-18 06:13:37
1500046,Guest_45,69.0,Singapore,Goa,None,2020-01-24 22:55:36
1500047,Guest_46,73.0,India,Mumbai,None,2019-03-16 05:05:31
1500048,Guest_47,33.0,UK,Dubai,Gold,2020-10-24 18:46:10
1500049,Guest_48,59.0,UK,Dubai,None,2019-11-19 18:37:45
1500050,Guest_49,73.0,Germany,Bengaluru,None,2021-02-13 10:15:15
1500051,Guest_50,58.0,USA,Bengaluru,None,2020-11-06 01:15:16
1500052,Guest_51,30.0,UK,Goa,Silver,2019-08-11 04:46:03
1500053,Guest_52,70.0,UAE,Mumbai,None,2021-04-20 18:23:28
1500054,Guest_53,46.0,UK,Singapore,Gold,2023-02-09 00:59:58
1500055,Guest_54,37.0,Canada,Singapore,None,2019-11-19 13:08:12
1500056,Guest_55,71.0,Australia,Goa,Gold,2024-03-07 11:08:05
1500057,Guest_56,30.0,Singapore,Dubai,None,2024-04-16 09:08:32
1500058,Guest_57,35.0,Australia,Goa,Gold,2021-11-03 15:56:09
1500059,Guest_58,20.0,Singapore,Dubai,Gold,2023-04-10 11:59:47
1500060,Guest_59,26.0,UAE,Goa,None,2021-02-24 19:10:19
1500061,Guest_60,23.0,Germany,Jaipur,None,2020-01-01 01:26:33
1500062,Guest_61,52.0,UK,Jaipur,Silver,2020-08-26 04:34:49
1500063,Guest_62,23.0,Australia,Goa,Platinum,2021-06-03 05:57:12
1500064,Guest_63,59.0,USA,Jaipur,None,2022-06-03 10:32:08
1500065,Guest_64,52.0,India,Goa,Silver,2023-04-19 03:21:26
1500066,Guest_65,24.0,Singapore,Dubai,Silver,2023-12-28 22:32:36
1500067,Guest_66,44.0,Australia,Dubai,None,2021-05-27 01:40:57
1500068,Guest_67,67.0,Singapore,Mumbai,None,2020-04-01 14:14:28
1500069,Guest_68,62.0,USA,Singapore,None,2021-07-08 08:45:02
1500070,,58.0,Australia,Delhi,Silver,2021-06-05 13:26:57
1500071,Guest_70,33.0,Canada ,Singapore,Silver,2020-06-03 09:27:32
1500072,Guest_71,19.0,,Delhi,Silver,2019-03-27 14:40:40
1500073,Guest_72,61.0,UK,Bengaluru,None,2022-05-06 10:59:36
1500074,Guest_73,29.0,Germany,Singapore,None,2018-11-26 23:27:50
1500075,Guest_74,67.0,India,Dubai,None,2018-08-31 20:37:13
1500076,GUEST_75,33.0,Canada,London,Silver,2024-08-28 12:35:08
1500077,Guest_76,37.0,Australia,London,Silver,2023-08-06 12:42:39
1500078,Guest_77,36.0,India,Delhi,Silver,2023-02-13 20:42:46
1500079,Guest_78,29.0,Canada,Bengaluru,Gold,2018-04-01 17:17:07
1500080,Guest_79,49.0,Canada,Delhi,None,2022-01-21 09:55:13
1500081,Guest_80,55.0,India,Jaipur,Gold,2021-06-30 01:24:29
1500082,Guest_81,38.0,USA,Mumbai,Silver,2020-12-22 22:06:14
1500083,Guest_82,18.0,Germany,Jaipur,None,2023-02-06 08:34:39
1500084,Guest_83,35.0,India,London,None,2023-10-08 20:49:54
1500085,Guest_84,50.0,Australia,Singapore,None,2018-12-26 18:15:58
1500086,Guest_85,29.0,Singapore,Delhi,Silver,2018-08-18 13:13:29
1500087,Guest_86,31.0,Singapore,Singapore,None,2018-02-26 15:32:24
1500088,Guest_87,,India,Singapore,None,2018-10-25 12:01:44
1500089,Guest_88,53.0,India,Jaipur,None,2024-05-26 23:46:39
1500090,Guest_89,34.0,,Goa,None,2019-12-26 18:22:55
1500091,Guest_90,58.0,Canada,Goa,None,2019-05-24 00:54:21
1500092,Guest_91,54.0,Canada,Mumbai,None,2020-01-29 13:06:44
1500093,Guest_92,31.0,USA,Delhi,None,2020-08-08 02:50:09
1500094,Guest_93,42.0,Australia,Delhi,None,2020-10-23 09:55:40
1500095,Guest_94,61.0,USA,London,Gold,2020-06-19 08:36:10
1500096,Guest_95,23.0,UK,Goa,Gold,2021-07-03 05:58:53
1500097,Guest_96,38.0,Canada,Mumbai,None,2018-11-18 04:39:13
1500098,Guest_97,72.0,India,Mumbai,Silver,2024-05-30 22:10:43
1500099,Guest_98,29.0,Canada,Delhi,None,2021-02-11 02:26:33
1500100,Guest_99,62.0,USA,Delhi,None,2022-11-25 12:19:45
1500101,Guest_100,73.0,USA,Bengaluru,Gold,2019-09-17 00:34:10
1500102,Guest_101,49.0,Singapore,Bengaluru,Silver,2022-05-09 06:46:13
