Staff_ID,Hotel_ID,Department,Role,Shift,Monthly_Salary
240001,160975,Sales,Executive,Morning,71170.57
240002,160481,Food & Beverage,Executive,Night,90872.93
240003,161315,Sales,Chef,Evening,71075.67
240004,161096,Front Office,Chef,Morning,60763.79
240005,161658,Food & Beverage,Chef,Evening,147703.44
240006,161115,Sales,Associate,Evening,45508.35
240007,160336,Housekeeping,Supervisor,Morning,148918.92
240008,161935,Maintenance,Technician,Morning,28207.45
240009,160210,Sales,Supervisor,Morning,89117.93
240010,161516,Housekeeping,Associate,Evening,134597.41
240011,160439,Front Office,Supervisor,Night,157078.91
240012,161616,Maintenance,Technician,Night,19688.7
240013,160337,Maintenance,Technician,Night,95094.71
240014,160691,Food & Beverage,Manager,Morning,102843.01
240015,161524,Sales,Technician,Night,77058.1
240016,160394,Food & Beverage,Technician,Night,64158.53
240017,161466,Food & Beverage,Executive,Evening,45305.74
240018,161852,Sales,Chef,Night,155678.96
240019,160675,Maintenance,Manager,Evening,65750.49
240020,160414,Food & Beverage,Supervisor,Morning,174113.44
240021,160260,Sales,Associate,Evening,120105.78
240022,161940,Maintenance,Associate,Evening,64871.08
240023,160073,Housekeeping,Executive,Morning,27716.08
240024,161612,Front Office,Chef,Night,119417.74
240025,161593,Maintenance,Manager,Evening,32693.3
240026,160583,Housekeeping,Executive,Night,137444.52
240027,161176,Front Office,Supervisor,Night,126762.48
240028,161514,Food & Beverage,Executive,Evening,38848.49
240029,160093,Sales,Associate,Evening,165832.47
240030,160111,Housekeeping,Manager,Night,148947.06
240031,160421,Front Office,Manager,Night,153926.28
240032,161699,Food & Beverage,Supervisor,Evening,118854.57
240033,160723,Front Office,Technician,Morning,71558.97
240034,161133,Front Office,Chef,Morning,75913.39
240035,161797,Front Office,Manager,Morning,121804.36
240036,161957,Housekeeping,Supervisor,Night,149660.79
240037,160264,Maintenance,Technician,Night,132529.02
240038,160278,Housekeeping,Supervisor,Morning,118801.84
240039,161696,Sales,Chef,Morning,72276.08
240040,161679,Food & Beverage,Associate,Night,18210.95
240041,160747,Sales,Supervisor,Evening,85260.32
240042,160468,Front Office,Associate,Morning,177434.82
240043,161429,Food & Beverage,Manager,Night,31887.06
240044,160493,Food & Beverage,Manager,Morning,127712.97
240045,160411,Sales,Executive,Evening,23180.7
240046,161892,Maintenance,Manager,Evening,92995.18
240047,160839,Maintenance,Associate,Night,25227.5
240048,161710,Maintenance,Associate,Night,57471.93
240049,160743,Food & Beverage,Executive,Night,68900.17
240050,161153,Maintenance,Associate,Night,30649.62
240051,160562,Food & Beverage,Associate,Evening,95993.02
240052,161631,Front Office,Associate,Night,31491.97
240053,161996,Sales,Technician,Morning,159455.95
240054,160582,Housekeeping,Chef,Night,159767.4
240055,161439,Food & Beverage,Associate,Night,69238.83
240056,161942,Front Office,Executive,Morning,129011.75
240057,160814,Sales,Supervisor,Evening,171809.61
240058,161074,Housekeeping,Technician,Evening,134438.14
240059,160547,Sales,Supervisor,Evening,93390.55
240060,160658,Maintenance,Manager,Evening,161022.94
240061,160330,Housekeeping,Technician,Morning,81792.11
240062,161931,Food & Beverage,Manager,Evening,122471.23
240063,160337,Front Office,Associate,Night,138991.33
240064,160142,Front Office,Technician,Night,69328.91
240065,160410,Food & Beverage,Supervisor,Night,101090.4
240066,160631,Food & Beverage,Manager,Morning,43452.74
240067,160094,Sales,Chef,Evening,41515.28
240068,160862,Food & Beverage,Chef,Evening,134391.92
240069,160120,Food & Beverage,Supervisor,Morning,76278.23
240070,161654,Front Office,Technician,Morning,19378.0
240071,161737,Maintenance,Supervisor,Evening,69866.19
240072,161214,Housekeeping,Technician,Morning,101713.33
240073,160827,Maintenance,Technician,Evening,120948.76
240074,160336,Food & Beverage,Associate,Evening,135028.44
240075,160952,Front Office,Supervisor,Night,51657.02
240076,160576,Sales,Chef,Night,142435.41
240077,160757,Maintenance,Technician,Night,22865.67
240078,160598,Front Office,Technician,Evening,74596.4
240079,160259,Housekeeping,Supervisor,Night,38608.23
240080,160088,Front Office,Executive,Night,48829.48
240081,160454,Front Office,Manager,Evening,156258.25
240082,160629,Housekeeping,Associate,Morning,133465.2
240083,160993,Housekeeping,Executive,Night,90083.45
240084,160674,Sales,Technician,Morning,95322.03
240085,160362,Front Office,Executive,Evening,81319.69
240086,161944,Sales,Technician,Morning,119621.16
240087,161061,Front Office,Supervisor,Evening,58532.38
240088,160328,Sales,Technician,Morning,71604.75
240089,160260,Food & Beverage,Supervisor,Night,37443.76
240090,160293,Front Office,Associate,Night,131836.4
240091,160345,Maintenance,Chef,Night,121334.35
240092,161960,Front Office,Technician,Morning,121865.8
240093,161734,Sales,Technician,Evening,61641.19
240094,160176,Maintenance,Executive,Morning,53946.01
240095,161538,Sales,Manager,Night,175972.97
240096,161755,Housekeeping,Associate,Evening,19282.3
240097,161681,Sales,Technician,Morning,26026.34
240098,161460,Food & Beverage,Associate,Evening,131610.06
240099,161852,Housekeeping,Manager,Night,76210.1
240100,160672,Housekeeping,Technician,Evening,169437.77
240101,161597,Housekeeping,Executive,Night,156131.41
240102,161987,Maintenance,Executive,Evening,157312.64
240103,160033,Maintenance,Supervisor,Morning,164871.78
240104,160912,Food & Beverage,Executive,Morning,91414.63
240105,160655,Housekeeping,Technician,Night,135676.92
240106,160881,Housekeeping,Chef,Night,154615.76
240107,161714,Housekeeping,Manager,Evening,24298.03
240108,160103,Housekeeping,Executive,Night,137984.66
240109,161501,Front Office,Manager,Evening,165293.51
240110,160314,Food & Beverage,Supervisor,Night,18039.72
240111,160651,Housekeeping,Associate,Evening,135870.33
240112,160912,Food & Beverage,Chef,Morning,82096.19
240113,160074,Sales,Executive,Night,104716.86
240114,160609,Maintenance,Executive,Evening,111662.08
240115,160964,Housekeeping,Associate,Evening,56110.46
240116,160960,Maintenance,Supervisor,Night,41673.94
240117,161244,Maintenance,Supervisor,Morning,152735.58
240118,161556,Maintenance,Technician,Evening,60787.54
240119,161521,Sales,Supervisor,Night,124826.39
240120,161353,Sales,Manager,Morning,52064.84
240121,160344,Food & Beverage,Executive,Morning,59071.29
240122,160453,Maintenance,Technician,Night,91703.13
240123,160171,Maintenance,Supervisor,Night,47518.55
240124,160125,Food & Beverage,Chef,Night,172643.47
240125,160643,Front Office,Associate,Night,91992.23
240126,161925,Food & Beverage,Technician,Morning,129546.17
240127,161208,Front Office,Executive,Night,145689.14
240128,160212,Sales,Technician,Evening,46462.51
240129,161295,Housekeeping,Associate,Night,78092.72
240130,160125,Maintenance,Executive,Morning,151246.9
240131,161924,Sales,Executive,Evening,151145.36
240132,160145,Maintenance,Executive,Night,120598.51
240133,161437,Housekeeping,Chef,Night,135417.44
240134,160434,Front Office,Executive,Night,177148.86
240135,160455,Front Office,Executive,Evening,129493.16
240136,160472,Sales,Executive,Evening,27710.1
240137,161755,Housekeeping,Associate,Night,173262.22
240138,161038,Front Office,Associate,Night,83362.78
240139,160456,Food & Beverage,Executive,Morning,148682.97
240140,160315,Food & Beverage,Chef,Night,28018.75
240141,160862,Maintenance,Executive,Night,121978.26
240142,161596,Maintenance,Technician,Evening,146009.01
240143,161026,Housekeeping,Associate,Night,48811.25
240144,161854,Maintenance,Manager,Evening,40245.92
240145,160067,Maintenance,Technician,Morning,88873.99
240146,161140,Food & Beverage,Associate,Morning,59168.36
240147,160907,Maintenance,Manager,Evening,68397.06
240148,160887,Food & Beverage,Technician,Night,161492.14
240149,160297,Front Office,Supervisor,Night,77683.02
240150,160383,Maintenance,Executive,Night,104744.81
240151,161816,Sales,Technician,Night,80631.95
240152,160198,Housekeeping,Associate,Night,85844.67
240153,160951,Front Office,Chef,Evening,30737.03
240154,161056,Sales,Technician,Night,81930.33
240155,160592,Maintenance,Manager,Night,135149.02
240156,160163,Food & Beverage,Executive,Night,41578.95
240157,160933,Housekeeping,Manager,Morning,20224.29
240158,160262,Front Office,Manager,Night,147926.76
240159,160730,Food & Beverage,Associate,Morning,44296.51
240160,160583,Food & Beverage,Supervisor,Night,19957.41
240161,160436,Maintenance,Supervisor,Evening,45097.17
