Hotel_ID,Hotel_Name,City,Hotel_Type,Star_Rating,Rooms,Base_Room_Rate
160001,Hotel_0,Delhi,Boutique,4,745,38360.28
160002,Hotel_1,Dubai,Budget,2,940,12107.62
160003,Hotel_2,Goa,Business,5,880,37153.2
160004,Hotel_3,Bengaluru,Resort,3,899,39267.17
160005,Hotel_4,Delhi,Business,2,30,40913.32
160006,Hotel_5,London,Business,4,54,21660.39
160007,Hotel_6,Goa,Boutique,4,825,11659.32
160008,Hotel_7,Goa,Business,4,793,12638.45
160009,Hotel_8,Singapore,Business,4,250,12197.84
160010,Hotel_9,Goa,Resort,4,321,5387.7
160011,Hotel_10,Mumbai,Resort,3,209,1750.58
160012,Hotel_11,Goa,Boutique,4,152,42136.22
160013,Hotel_12,Bengaluru,Boutique,5,543,25006.13
160014,Hotel_13,Jaipur,Resort,3,1159,48850.13
160015,Hotel_14,Mumbai,Resort,2,78,22216.86
160016,Hotel_15,Goa,Business,3,755,21447.1
160017,Hotel_16,London,Boutique,4,691,5605.83
160018,Hotel_17,Jaipur,Business,3,170,49522.38
160019,Hotel_18,Jaipur,Budget,4,945,44760.79
160020,Hotel_19,Mumbai,Luxury,4,954,11711.5
160021,Hotel_20,Jaipur,Resort,5,1069,37273.17
160022,Hotel_21,Dubai,Budget,4,992,34925.86
160023,Hotel_22,Mumbai,Boutique,2,688,37228.56
160024,Hotel_23,Singapore,Budget,4,1051,46352.88
160025,Hotel_24,Jaipur,Luxury,4,1102,49920.2
160026,Hotel_25,Singapore,Resort,5,127,22843.4
160027,Hotel_26,Singapore,Boutique,3,382,38860.96
160028,Hotel_27,Goa,Boutique,2,95,48153.87
160029,Hotel_28,Jaipur,Resort,3,225,20233.67
160030,Hotel_29,Bengaluru,Budget,2,737,32856.02
160031,Hotel_30,Goa,Business,2,48,2443.62
160032,Hotel_31,Goa,Boutique,5,944,28245.95
160033,Hotel_32,Dubai,Boutique,3,306,8215.34
160034,Hotel_33,Mumbai,Luxury,4,876,26536.03
160035,Hotel_34,Singapore,Resort,5,965,2766.27
160036,Hotel_35,Mumbai,Boutique,2,159,6983.79
160037,Hotel_36,Dubai,Luxury,4,345,27788.36
160038,Hotel_37,Dubai,Business,2,786,2206.49
160039,Hotel_38,Singapore,Budget,2,777,31047.97
160040,Hotel_39,Dubai,Luxury,2,904,6570.27
160041,Hotel_40,Bengaluru,Luxury,4,181,47673.63
160042,Hotel_41,Mumbai,Luxury,4,734,37074.62
160043,Hotel_42,Jaipur,Business,3,1090,29634.33
160044,Hotel_43,Singapore,Resort,2,824,5691.01
