Channel_ID,Channel_Name,Campaign_Date,Spend,Impressions,Clicks,Bookings_Attributed
230001,Meta,2023-11-23 10:40:08,571706.9,1415685,326437,17973
230002,Meta,2024-09-10 04:54:03,614444.16,953804,339174,2882
230003,Affiliate,2023-01-11 15:02:41,201418.99,6296577,219585,3119
230004,Direct,2024-08-06 15:39:23,354741.92,7641514,460062,11605
230005,Affiliate,2023-01-12 02:15:57,261795.34,8989651,360767,19080
230006,Meta,2025-11-15 15:41:49,519077.86,3534178,174125,5156
230007,Affiliate,2025-01-31 23:09:14,326944.16,7796590,183038,18037
230008,Affiliate,2024-10-27 17:05:35,473338.31,6965682,273945,9859
230009,Meta,2023-03-13 10:07:04,875210.79,1330041,474417,5702
230010,OTA,2024-06-22 00:09:26,860664.59,4858520,194409,29293
230011,Direct,2024-11-07 12:35:27,517008.62,7639217,301306,9368
230012,Direct,2023-08-05 09:27:26,84513.9,4278202,129783,28223
230013,Direct,2025-04-15 17:47:11,307429.74,4310986,181929,25751
230014,Email,2023-09-29 06:56:38,347938.29,7719526,137723,5478
230015,Affiliate,2023-11-15 08:45:50,158860.2,508984,123224,27593
230016,Google Ads,2025-06-27 01:49:24,538862.57,2609477,104912,6472
230017,Meta,2025-11-11 06:53:59,654518.21,7441390,404684,9894
230018,Direct,2023-04-22 23:07:02,639091.84,760039,325397,12983
230019,OTA,2024-07-05 05:04:12,497257.26,403871,366296,18880
230020,OTA,2023-04-30 11:37:10,696640.48,8973597,461051,24340
230021,Email,2024-09-27 19:08:49,510983.21,5243819,84727,28590
230022,Direct,2024-10-05 17:09:48,678947.71,4993473,162840,581
230023,OTA,2024-12-29 01:09:05,228001.8,1506701,262255,4322
230024,Direct,2025-08-04 00:01:29,741844.56,8045531,161150,11227
230025,Email,2023-02-14 09:22:57,903654.08,2332679,304182,3664
230026,Meta,2023-05-25 20:37:29,639642.11,1378977,428294,20284
230027,Email,2024-06-04 01:38:36,321469.87,8841416,234785,18414
230028,Direct,2023-10-22 17:23:51,608020.39,6573342,410340,14674
230029,Email,2023-03-02 18:47:43,326953.02,5547828,402771,12813
230030,Email,2023-08-13 08:39:18,235186.89,7938160,207345,18042
230031,Affiliate,2023-08-26 15:53:30,157319.83,7151054,85727,7305
230032,Affiliate,2024-10-08 06:08:38,914920.64,1988346,400896,17573
230033,Google Ads,2024-02-22 05:19:45,231229.58,4725607,268171,14637
230034,Meta,2025-12-07 00:01:56,322831.84,4112149,448360,15208
230035,Direct,2024-03-10 18:35:44,744817.11,8614365,201350,90
230036,Google Ads,2025-02-03 06:16:14,156296.49,2938975,352305,19761
230037,Affiliate,2025-04-10 10:54:50,146936.72,3787342,378995,21625
230038,OTA,2023-08-08 11:09:13,957914.72,7064794,370143,14416
230039,Email,2025-10-26 08:42:16,159837.58,2976624,480254,7367
230040,OTA,2025-05-19 16:12:47,944254.33,6296008,315238,4300
230041,Google Ads,2024-09-20 00:55:07,830769.36,1873980,144577,9233
230042,Affiliate,2025-12-25 18:02:49,509439.13,2711188,393389,20969
230043,Google Ads,2023-11-10 01:13:51,31966.69,3980776,479060,6114
230044,Direct,2025-09-12 06:00:17,308124.93,3999421,308342,14689
230045,Direct,2023-01-26 00:21:06,491685.93,1917507,96114,121
230046,OTA,2023-03-30 23:01:11,516165.65,7017958,160560,4263
230047,OTA,2025-05-05 01:52:54,929595.93,7912541,157391,6352
230048,Meta,2023-02-18 02:37:05,546557.94,8480778,333337,9252
230049,Affiliate,2023-08-20 02:10:46,458345.13,3157444,50794,20355
230050,Google Ads,2024-02-13 23:19:00,605376.62,8672450,491200,27302
230051,Direct,2024-02-15 17:19:40,604382.17,5459294,386312,8708
230052,Direct,2024-01-09 13:24:27,819298.79,5876250,345944,7171
230053,Email,2023-08-12 02:11:45,700156.0,459601,260943,5803
230054,OTA,2024-09-20 03:43:52,25689.97,9302781,489353,14301
230055,Google Ads,2024-03-26 05:13:51,610875.68,6233101,40603,19286
230056,Email,2023-08-08 13:15:54,687384.14,3475027,161389,8018
230057,OTA,2024-05-09 19:52:30,97503.97,461671,200397,24851
230058,Affiliate,2023-07-26 01:56:36,105404.35,3664853,468143,6668
230059,Direct,2025-05-19 13:42:35,437207.29,5124131,19713,1361
230060,Direct,2025-01-01 15:06:21,355955.63,7209065,43780,23122
230061,Google Ads,2025-09-05 02:42:21,769732.72,6843808,128887,9108
230062,Google Ads,2025-03-29 01:52:59,918883.72,5737607,26931,29556
230063,OTA,2025-04-25 01:11:00,489355.08,3329634,331355,14423
230064,Meta,2025-07-17 12:08:48,407578.62,4063739,250615,27350
230065,Direct,2024-08-06 09:40:17,107883.79,425970,115412,663
230066,Google Ads,2025-09-12 02:28:17,812963.08,5378932,479371,15798
230067,OTA,2025-04-22 08:19:30,526372.97,5906790,340094,13816
230068,Direct,2024-10-21 00:50:20,36236.62,7308879,458116,27032
230069,Direct,2025-11-15 00:31:27,270175.47,5887514,326188,18261
230070,OTA,2024-09-12 11:49:23,429844.73,5982243,168371,16937
230071,Direct,2025-10-14 23:42:34,157015.52,2496164,186432,27460
230072,OTA,2023-02-21 23:59:30,406091.39,6479492,304792,23613
230073,Email,2025-12-20 03:45:03,102699.17,8233907,77454,2103
230074,OTA,2024-11-20 08:13:47,978368.29,5682379,93100,13309
230075,Direct,2024-11-17 05:15:48,904417.5,2868390,98541,20385
230076,OTA,2023-09-07 06:09:08,619549.57,7411050,356696,28487
230077,Email,2023-02-03 10:18:41,460334.96,2488689,128723,25248
230078,OTA,2025-05-17 09:56:38,76765.13,4263347,381969,13328
230079,Direct,2024-08-20 15:09:26,742683.78,5991641,47981,9852
230080,Meta,2023-11-20 11:46:31,969183.2,3576837,14549,19653
230081,Direct,2025-09-16 04:34:53,347560.44,289049,358314,5069
230082,OTA,2024-04-03 23:32:22,54572.72,2954500,23549,7661
230083,Google Ads,2025-08-18 07:52:43,144548.62,7726732,481759,24201
230084,Affiliate,2024-12-17 19:24:34,964532.21,2023749,327260,24658
230085,Google Ads,2023-02-26 13:44:34,829911.28,878995,412232,15380
230086,Direct,2024-09-18 01:06:12,526691.7,3639172,115563,11859
230087,Email,2024-10-28 08:54:30,781251.09,5966497,118339,21322
230088,Direct,2024-03-05 07:32:06,349840.12,6167244,379882,8997
230089,Google Ads,2024-01-05 11:23:35,255675.62,5228191,162112,27987
230090,Affiliate,2024-01-09 17:45:35,250326.08,495831,297688,20181
230091,Google Ads,2024-07-13 23:10:06,821992.86,4638145,491567,16309
230092,Google Ads,2025-07-26 14:45:21,496055.72,3258727,25059,8492
230093,Affiliate,2023-09-13 08:13:08,233147.19,9554331,399631,7321
230094,Direct,2023-02-11 13:14:21,521374.16,183095,469955,29413
230095,Direct,2023-06-25 21:10:09,217015.06,4730784,393490,14653
230096,Affiliate,2023-04-04 08:54:45,762945.47,5257986,213017,25677
230097,OTA,2025-02-07 03:09:15,241187.97,3810956,440227,9754
230098,OTA,2025-10-21 13:10:31,564957.92,2650629,343406,27907
230099,Direct,2023-12-29 11:32:25,846706.29,2855134,183437,17478
230100,Email,2024-08-28 01:56:48,742038.23,9168929,418715,21154
230101,Google Ads,2023-12-11 17:03:44,805047.66,3662115,225869,6306
230102,Email,2024-04-21 22:33:39,42722.34,4852835,300150,26670
230103,Meta,2024-07-22 21:35:43,548972.61,3846862,316184,19230
230104,Meta,2025-10-08 05:18:55,69543.35,9433354,54632,11399
230105,Google Ads,2024-06-11 11:21:52,156738.87,1807463,415335,25085
230106,OTA,2024-07-07 12:53:53,906250.75,1887391,108333,4923
230107,Direct,2024-04-05 18:32:05,397829.21,5912508,182581,7414
230108,Email,2023-11-29 19:37:47,252828.97,3455195,258402,4074
230109,OTA,2025-12-02 07:35:15,104921.55,8056803,423127,14845
230110,Affiliate,2024-04-24 06:04:22,20251.81,2665575,440076,13325
230111,OTA,2025-08-17 07:23:57,30288.65,4621468,73986,20218
230112,Direct,2023-02-20 14:07:43,626857.02,7343682,397621,24355
230113,Direct,2023-12-18 19:53:18,754976.11,8628023,185236,14478
230114,Affiliate,2025-12-03 11:10:27,590707.69,7892668,218263,15588
