Review_ID,Booking_ID,Review_Date,Cleanliness,Service,Location,Value,Overall_Rating,Sentiment
22000001,20042886.0,2024-08-12 21:43:03,1.0,1,4,1,4.4,Positive
22000002,20095322.0,2024-05-06 06:25:42,1.0,1,5,3,2.1,Positive
22000003,20033284.0,2023-09-15 10:49:38,5.0,5,1,4,1.3,Positive
22000004,20042536.0,2025-07-21 23:28:59,5.0,2,3,4,4.7,Neutral
22000005,20067679.0,2024-08-09 17:54:55,5.0,1,1,1,3.6,Neutral
22000006,20052761.0,2025-10-11 15:52:51,3.0,1,5,3,4.2,Negative
22000007,20075698.0,2025-04-10 02:53:14,3.0,1,4,3,3.4,Neutral
22000008,20069203.0,2025-05-08 03:25:58,5.0,2,5,1,1.9,Neutral
22000009,20098366.0,2023-07-26 00:23:33,1.0,2,5,5,1.1,Positive
22000010,20114392.0,2024-08-26 12:16:42,5.0,4,3,3,4.5,Positive
22000011,20001041.0,2023-10-23 12:26:35,1.0,2,3,4,4.8,Positive
22000012,20098119.0,2023-10-08 00:29:07,4.0,3,3,4,1.4,Neutral
22000013,20011523.0,2023-11-29 22:57:14,3.0,3,4,5,1.1,Positive
22000014,20080716.0,2023-07-18 07:38:11,5.0,5,3,2,1.7,Neutral
22000015,20032879.0,2024-07-20 12:43:09,5.0,4,5,1,3.1,Positive
22000016,20091365.0,2023-03-29 01:34:17,3.0,5,5,2,3.0,Positive
22000017,20108319.0,2024-11-22 17:07:06,3.0,4,4,4,1.8,Positive
22000018,20046667.0,2025-09-26 14:57:11,3.0,1,1,2,4.0,Positive
22000019,20068023.0,2025-09-23 18:27:04,5.0,5,3,1,4.8,Positive
22000020,20060716.0,2025-04-12 08:34:46,5.0,4,5,3,2.4,Positive
22000021,20044826.0,2025-06-07 15:59:54,3.0,2,3,1,4.6,Positive
22000022,20041314.0,2025-09-05 00:20:14,5.0,5,4,1,1.4,Positive
22000023,20061074.0,2025-08-29 22:53:18,5.0,2,4,4,3.6,Positive
22000024,20049030.0,2025-06-13 13:46:44,5.0,5,5,1,1.6,Positive
22000025,20065960.0,2025-08-20 03:39:00,1.0,3,1,5,2.7,Positive
22000026,20009088.0,2025-06-20 16:38:05,4.0,4,4,1,4.1,Neutral
22000027,20012160.0,2025-08-19 06:39:41,3.0,5,5,5,4.3,Positive
22000028,20045976.0,2025-05-04 11:06:58,3.0,5,3,4,1.3,Positive
22000029,20045774.0,2024-07-01 13:14:35,2.0,4,3,2,2.1,Positive
22000030,20009291.0,2023-07-04 17:18:30,3.0,1,2,4,3.7,Neutral
22000031,20106882.0,2024-12-15 15:23:14,5.0,1,5,2,2.6,Positive
22000032,20025726.0,2025-10-22 08:57:51,2.0,1,2,2,3.3,Positive
22000033,20108811.0,2024-01-22 12:49:15,3.0,3,2,4,4.6,Positive
22000034,20121498.0,2025-06-14 22:11:32,4.0,5,3,1,2.5,Positive
22000035,20002274.0,2023-07-28 11:49:15,3.0,3,1,4,3.1,Positive
22000036,20075044.0,2023-11-02 13:05:19,3.0,3,5,3,3.2,Positive
22000037,20051720.0,2023-04-08 04:53:23,3.0,4,4,1,1.8,Neutral
22000038,20075067.0,2023-09-02 05:54:17,2.0,2,4,2,1.4,Positive
22000039,20074361.0,2023-02-02 09:57:19,1.0,5,4,5,1.6,Positive
22000040,20074991.0,2025-10-26 12:20:05,2.0,1,1,4,2.6,Positive
22000041,20111803.0,2023-09-06 16:19:50,5.0,3,5,4,1.3,Positive
22000042,20097594.0,2023-03-15 07:45:41,3.0,2,2,2,3.0,Positive
22000043,20017987.0,2025-12-14 13:54:21,2.0,1,3,5,1.8,Negative
22000044,20038856.0,2025-06-09 00:10:48,5.0,3,4,2,2.2,Neutral
22000045,20077208.0,2024-11-24 03:36:14,1.0,2,1,5,4.6,Positive
22000046,20075028.0,2024-12-17 15:46:57,3.0,3,2,1,3.7,Positive
22000047,20077091.0,2024-12-16 17:50:42,5.0,2,5,4,4.7,Positive
22000048,20078737.0,2024-10-26 18:53:07,1.0,3,3,4,3.8,Negative
22000049,20090075.0,2025-03-01 02:25:10,3.0,4,2,3,2.1,Positive
22000050,20033200.0,2024-06-30 17:56:05,5.0,4,1,4,4.2,Neutral
22000051,20048590.0,2024-01-13 11:57:45,5.0,5,5,3,4.6,Positive
22000052,20126964.0,2024-08-25 12:00:51,3.0,2,5,3,3.9,Neutral
22000053,20117288.0,2023-12-17 09:11:34,4.0,5,2,5,3.3,Positive
22000054,20054107.0,2023-04-21 22:03:18,2.0,3,5,1,1.3,Positive
22000055,20028559.0,2023-02-03 18:11:31,3.0,1,2,4,3.8,Positive
22000056,20053559.0,2025-04-14 21:19:01,1.0,5,5,1,4.8,Positive
22000057,20083522.0,2023-09-20 14:21:17,1.0,1,4,3,3.1,Positive
22000058,20120811.0,2025-05-15 08:57:23,1.0,4,4,1,4.2,Positive
22000059,20039492.0,2024-12-30 15:36:25,2.0,3,2,4,2.7,Positive
22000060,20003194.0,2023-12-25 17:33:53,1.0,5,2,4,4.2,Positive
22000061,20105593.0,2023-11-04 11:51:35,4.0,1,5,4,4.5,Negative
22000062,20074077.0,2025-10-01 17:38:04,3.0,4,1,4,3.8,Positive
22000063,20052985.0,2024-06-11 21:33:09,2.0,4,5,2,3.4,Positive
22000064,20128274.0,2024-08-27 03:27:33,3.0,4,4,1,1.3,Neutral
22000065,20029260.0,2023-08-02 12:44:43,2.0,5,5,4,4.2,Positive
22000066,20052090.0,2023-06-01 14:37:14,4.0,2,1,2,4.1,Positive
22000067,20098788.0,2025-04-25 15:36:38,2.0,4,5,3,1.8,Positive
22000068,20119593.0,2024-08-29 05:00:47,4.0,1,2,3,3.1,Positive
22000069,20003854.0,2025-01-20 12:19:59,5.0,4,3,2,1.9,Neutral
22000070,20126783.0,2023-04-30 00:29:42,2.0,1,2,4,4.7,Positive
22000071,20061729.0,2024-02-10 05:58:11,1.0,1,3,2,3.9,Negative
22000072,20054096.0,2024-03-31 05:13:53,1.0,5,3,1,4.4,Positive
22000073,20078412.0,2024-03-03 02:01:24,5.0,4,2,3,1.9,Positive
22000074,20042257.0,2024-10-05 05:20:30,4.0,1,4,5,1.7,Neutral
22000075,20030866.0,2023-09-26 00:44:57,1.0,4,5,5,4.9,Positive
22000076,20109604.0,2024-04-22 03:18:34,2.0,3,5,5,1.2,Positive
22000077,20031213.0,2024-04-11 04:39:34,5.0,5,1,1,1.2,Neutral
22000078,20117310.0,2025-08-08 01:20:30,2.0,4,3,2,1.1,Positive
22000079,20010278.0,2024-06-20 13:01:46,2.0,2,4,4,2.4,Positive
22000080,20107659.0,2023-05-09 01:37:00,4.0,4,3,5,2.0,Neutral
22000081,20031122.0,2025-02-25 00:23:39,4.0,3,2,2,4.2,Positive
22000082,20005798.0,2023-07-06 19:08:19,1.0,1,3,3,1.7,Positive
22000083,20083004.0,2025-03-19 05:26:14,3.0,3,3,1,4.2,Negative
22000084,20025648.0,2024-06-08 13:51:56,5.0,4,5,1,4.2,Positive
22000085,20050695.0,2025-05-12 04:22:21,5.0,1,5,3,1.7,Positive
22000086,,2025-02-08 20:05:27,2.0,5,5,1,3.9,Positive
22000087,20125472.0,2024-10-24 16:12:57,1.0,2,5,2,2.8,Neutral
22000088,20079713.0,2024-11-27 00:53:14,4.0,5,1,1,3.2,Negative
22000089,20008034.0,2024-12-29 07:15:36,1.0,1,5,1,3.3,Positive
22000090,20048780.0,2024-07-12 22:18:34,5.0,5,3,5,1.6,Positive
22000091,20002157.0,2024-06-28 01:20:35,2.0,3,3,3,4.5,Negative
22000092,20110351.0,2024-03-16 13:48:37,4.0,2,5,2,2.2,Positive
22000093,20040700.0,2023-08-07 17:53:20,1.0,1,4,3,2.0,Positive
22000094,20072180.0,2025-05-28 09:17:19,5.0,1,1,5,2.3,Positive
22000095,20012169.0,2025-02-08 05:09:30,2.0,4,5,4,2.2,Positive
22000096,20128837.0,2025-12-15 12:17:19,1.0,3,5,2,4.2,Positive
22000097,20071047.0,2024-06-06 20:22:57,2.0,5,4,4,4.6,Positive
22000098,20069857.0,2024-10-13 00:48:44,4.0,1,3,5,1.3,Positive
22000099,20114348.0,2025-11-10 08:00:05,3.0,3,3,1,1.3,POSITIVE
22000100,20108220.0,2025-09-27 05:35:55,3.0,1,5,1,3.2,Positive
22000101,20064056.0,2025-01-28 16:26:58,5.0,5,2,4,4.4,Negative
22000102,20012180.0,2024-05-11 00:02:30,5.0,1,3,1,3.9,Neutral
22000103,20023834.0,2024-02-27 11:32:36,3.0,3,5,5,3.4,Positive
22000104,20011165.0,2023-09-16 03:14:25,3.0,1,5,2,3.0,Positive
22000105,20059050.0,2024-06-23 22:52:28,5.0,3,2,5,2.0,Negative
22000106,20106782.0,2025-07-27 03:18:25,4.0,1,2,5,4.8,Positive
22000107,20068311.0,2025-09-12 10:54:50,1.0,4,4,3,3.5,Positive
22000108,20018620.0,2024-01-28 09:15:17,5.0,5,5,2,4.0,Positive
22000109,20118864.0,2023-08-03 12:19:47,4.0,2,4,3,3.9,Positive
22000110,20048281.0,2023-04-14 15:18:00,4.0,1,3,3,4.9,Positive
22000111,20003105.0,2023-07-13 17:10:21,1.0,3,5,3,3.5,Positive
22000112,20120578.0,2024-04-12 07:08:13,2.0,5,4,5,4.2,Positive
22000113,20048927.0,2025-05-31 05:15:41,3.0,1,4,2,3.5,Positive
22000114,20051386.0,2025-07-23 05:53:57,4.0,2,1,3,2.0,Positive
22000115,20025982.0,2025-10-06 05:58:59,2.0,1,1,3,1.4,Neutral
22000116,20064987.0,2025-09-29 09:24:24,3.0,4,3,2,4.5,Positive
22000117,20104708.0,2024-01-29 08:36:00,4.0,2,3,1,1.7,Positive
22000118,20059199.0,2024-04-06 12:40:21,2.0,5,2,5,1.6,Positive
22000119,20005817.0,2024-07-03 18:01:32,5.0,1,1,4,2.3,Positive
22000120,20024102.0,2025-09-20 15:14:13,1.0,2,4,3,2.7,Neutral
22000121,20058883.0,2025-11-11 09:15:59,2.0,3,4,1,3.9,Negative
22000122,20095761.0,2024-06-30 01:28:36,3.0,1,5,2,2.6,Positive
22000123,20121127.0,2024-05-18 23:58:11,4.0,1,1,5,2.0,NEGATIVE
22000124,20045519.0,2025-07-29 22:46:01,4.0,4,4,4,4.4,Positive
22000125,20108178.0,2023-09-25 16:43:20,4.0,5,4,1,2.1,Positive
22000126,20056924.0,2023-11-02 19:48:24,4.0,2,3,1,2.3,Neutral
22000127,20114171.0,2024-08-27 19:51:36,4.0,5,2,5,4.0,Positive
22000128,20048704.0,2024-03-29 01:48:38,2.0,4,3,4,3.9,Positive
22000129,20121897.0,2023-10-01 09:06:26,4.0,2,4,2,2.6,Neutral
22000130,20100753.0,2024-07-13 00:10:47,1.0,4,3,2,1.8,Positive
22000131,20053094.0,2023-09-16 17:24:53,1.0,2,1,5,1.7,Neutral
22000132,20102242.0,2024-01-19 15:10:03,1.0,5,5,4,2.9,Neutral
22000133,20076011.0,2025-03-07 17:24:43,2.0,2,5,1,2.0,POSITIVE
22000134,20092336.0,2024-11-27 17:31:45,5.0,2,1,1,1.7,Positive
22000135,20053108.0,2024-04-27 00:11:06,4.0,1,3,5,1.2,Positive
22000136,20048680.0,2025-07-25 16:52:03,2.0,4,3,5,1.8,Positive
22000137,20062918.0,2024-12-01 18:53:27,5.0,3,1,4,2.8,Positive
22000138,20096191.0,2025-02-03 12:31:49,2.0,1,1,5,3.7,Neutral
22000139,20072411.0,2025-03-03 22:46:11,3.0,4,1,5,4.2,Neutral
22000140,20062655.0,2023-02-12 21:32:02,1.0,4,1,2,1.3,Positive
22000141,20046617.0,2024-08-25 01:17:46,3.0,2,4,5,1.7,Neutral
22000142,20104168.0,2025-11-25 02:36:49,4.0,2,4,5,3.2,Positive
22000143,20098454.0,2024-02-08 08:51:33,4.0,1,5,4,4.5,Positive
22000144,20050727.0,2024-12-25 00:24:44,4.0,4,5,3,4.5,Neutral
22000145,20005054.0,2025-08-03 10:39:50,2.0,4,5,4,3.3,Neutral
22000146,20059897.0,2023-11-13 23:25:53,5.0,1,2,3,1.2,Positive
22000147,20003976.0,2023-03-28 17:10:59,5.0,5,4,5,3.3,Neutral
22000148,20042838.0,2024-07-16 15:51:53,3.0,3,2,5,2.8,Positive
22000149,20105833.0,2025-01-07 16:41:16,2.0,5,2,2,3.6,Neutral
22000150,20022004.0,2025-02-21 18:04:12,1.0,1,1,4,4.4,Negative
22000151,20068850.0,2023-09-27 23:57:33,4.0,5,3,5,2.7,Positive
22000152,20097233.0,2024-04-06 01:08:27,2.0,3,2,5,2.0,Negative
22000153,20087129.0,2023-09-20 07:21:44,2.0,2,2,3,2.0,Positive
22000154,20039414.0,2024-12-11 04:59:36,3.0,2,4,3,3.0,Positive
22000155,20057932.0,2024-07-22 07:22:36,2.0,1,1,1,4.5,Positive
22000156,20058223.0,2025-06-11 01:15:07,4.0,2,1,3,3.1,Positive
22000157,20009788.0,2025-09-26 02:08:24,4.0,1,2,1,2.1,Positive
22000158,20016845.0,2023-11-11 06:46:38,1.0,3,1,5,4.0,Positive
22000159,20043847.0,2025-04-03 10:59:22,2.0,5,4,4,2.0,Positive
22000160,20043004.0,2024-01-29 01:58:26,5.0,3,2,4,1.4,Positive
22000161,20127345.0,2024-05-20 15:58:21,1.0,5,4,2,1.1,Neutral
22000162,20024347.0,2023-05-31 17:32:45,4.0,5,4,3,4.4,Positive
22000163,20106072.0,2024-05-01 17:17:55,2.0,4,5,2,1.6,Positive
22000164,20060655.0,2023-04-17 08:42:38,5.0,4,2,5,3.8,Positive
22000165,20106808.0,2025-02-11 15:45:11,4.0,3,1,4,4.1,Positive
22000166,20063397.0,2023-07-16 07:07:37,1.0,3,1,3,2.2,Positive
22000167,20047390.0,2024-02-05 04:21:43,2.0,1,1,1,3.6,Positive
22000168,20035058.0,2025-01-01 18:21:33,1.0,2,1,3,3.8,Positive
22000169,20041983.0,2025-12-18 23:59:33,1.0,4,4,5,3.4,Positive
22000170,20057296.0,2025-09-16 02:24:13,1.0,5,4,1,4.1,Positive
22000171,20094766.0,2025-04-17 22:10:06,3.0,2,3,2,4.4,Positive
22000172,20061546.0,2023-06-22 06:43:25,4.0,2,3,3,4.1,Positive
22000173,20088111.0,2025-01-06 19:18:54,5.0,1,5,4,2.5,Neutral
22000174,20062412.0,2023-07-16 14:13:35,2.0,5,4,3,3.2,Neutral
22000175,20094874.0,2025-06-08 08:22:20,5.0,4,1,4,2.3,Neutral
22000176,20022615.0,2025-03-22 07:10:56,4.0,3,1,2,3.1,Positive
22000177,20013386.0,2024-07-30 09:04:15,1.0,2,3,4,1.4,Positive
22000178,20046463.0,2024-11-26 11:22:56,4.0,3,4,2,2.2,Neutral
22000179,20078990.0,2024-03-06 02:31:17,4.0,5,1,1,1.9,Neutral
22000180,20091922.0,2024-05-15 15:41:35,4.0,4,4,4,2.1,Positive
22000181,20056673.0,2024-07-09 18:14:02,3.0,3,2,5,1.7,Positive
22000182,20066261.0,2024-01-23 01:19:32,2.0,2,3,4,2.3,Negative
22000183,20087675.0,2025-06-17 15:17:52,3.0,1,5,2,2.8,Neutral
22000184,20075603.0,2023-04-30 10:58:46,4.0,2,4,2,1.6,Positive
22000185,20044411.0,2023-08-28 20:34:59,3.0,5,1,1,1.6,Positive
22000186,20085366.0,2023-06-19 06:34:25,3.0,3,3,2,2.2,Positive
22000187,20020345.0,2023-04-10 17:43:31,4.0,2,5,1,2.0,Negative
22000188,20077431.0,2025-04-08 22:18:30,3.0,1,4,2,3.2,Positive
22000189,20062138.0,2025-12-28 20:42:36,2.0,4,2,1,3.8,Positive
22000190,20005742.0,2023-04-11 03:38:18,2.0,5,1,3,4.0,Positive
22000191,20128292.0,2024-10-16 18:03:18,4.0,5,3,3,3.8,Positive
22000192,20049521.0,2025-06-15 15:46:10,2.0,4,3,2,3.2,Negative
22000193,20008548.0,2024-08-15 04:07:47,3.0,5,4,3,1.0,Neutral
22000194,20009654.0,2023-12-19 09:40:37,2.0,3,2,5,4.5,Positive
22000195,20126916.0,2025-09-16 08:25:37,5.0,2,2,3,4.7,Neutral
22000196,20052118.0,2024-12-27 00:14:47,5.0,2,5,3,1.2,Positive
22000197,20016402.0,2024-05-04 06:26:48,5.0,1,3,3,1.1,Positive
22000198,20036453.0,2024-08-22 19:06:23,3.0,4,1,4,3.7,Neutral
22000199,20076306.0,2023-06-13 00:55:14,1.0,1,3,4,2.6,Neutral
22000200,20106312.0,2023-04-04 15:47:08,5.0,3,5,4,2.7,Positive
22000201,20061977.0,2023-12-18 05:44:10,1.0,4,5,1,2.1,Positive
22000202,20075246.0,2025-07-21 03:36:48,3.0,4,1,5,3.2,Positive
22000203,20044240.0,2025-03-18 09:04:36,4.0,1,2,1,2.9,Positive
22000204,20071290.0,2024-06-22 07:32:51,2.0,1,3,3,1.3,Positive
22000205,20018107.0,2025-10-09 14:14:07,3.0,5,5,1,1.4,Neutral
22000206,20069789.0,2023-07-20 02:27:23,4.0,2,5,3,1.1,Positive
22000207,20052092.0,2024-10-27 01:41:51,1.0,4,4,5,2.7,Neutral
22000208,20004175.0,2023-06-22 17:22:35,5.0,4,2,2,4.9,Positive
22000209,20085607.0,2025-02-27 23:05:25,4.0,4,3,2,1.8,Positive
22000210,20122208.0,2024-11-28 13:14:50,4.0,1,5,5,2.8,Negative
22000211,20035895.0,2024-06-13 07:37:52,2.0,1,3,3,5.0,Positive
22000212,20090691.0,2023-01-29 20:17:46,5.0,2,1,4,4.4,Positive
22000213,20035064.0,2023-09-24 12:08:38,1.0,2,3,1,1.9,Positive
22000214,20009149.0,2024-03-18 03:30:55,5.0,1,2,4,4.7,Positive
22000215,20058445.0,2025-02-07 10:05:15,4.0,1,1,1,1.0,Positive
22000216,20106604.0,2024-06-28 11:01:46,4.0,3,1,3,4.3,Positive
22000217,20050845.0,2024-03-22 15:46:26,5.0,1,3,1,2.1,Positive
22000218,20039904.0,2024-05-03 17:41:25,2.0,3,2,2,2.6,Positive
22000219,20058230.0,2023-04-03 23:29:32,1.0,1,4,2,1.1,Positive
22000220,20124611.0,2023-12-09 12:21:21,1.0,1,1,4,4.1,Neutral
22000221,20086295.0,2025-04-07 12:58:57,1.0,4,5,4,3.7,Positive
22000222,20070817.0,2024-03-04 07:16:01,3.0,1,2,5,4.7,Positive
22000223,20081103.0,2023-08-01 09:38:11,3.0,1,2,1,4.3,Positive
22000224,20080223.0,2024-04-14 16:32:23,4.0,4,3,3,4.3,Neutral
22000225,20001774.0,2025-05-02 02:06:58,1.0,3,5,4,1.1,Neutral
22000226,20111230.0,2025-05-31 04:13:33,2.0,5,5,5,1.6,Positive
22000227,20102708.0,2024-05-01 12:29:32,4.0,1,4,3,2.9,Negative
22000228,20056901.0,2025-05-13 00:08:49,4.0,1,3,5,4.2,Positive
22000229,20094240.0,2024-06-25 22:43:55,5.0,2,3,3,1.2,Positive
22000230,20087119.0,2024-05-15 03:34:23,5.0,5,1,3,4.4,Positive
22000231,20041050.0,2023-03-21 22:45:08,2.0,5,3,3,2.5,Positive
22000232,20079218.0,2024-12-09 12:18:22,1.0,3,3,1,2.5,Negative
22000233,20097575.0,2023-06-05 17:14:23,2.0,4,1,3,4.9,Positive
22000234,20025727.0,2024-09-30 09:22:03,2.0,3,4,4,4.0,Positive
22000235,20127427.0,2024-11-27 03:13:30,4.0,3,4,4,1.8,Positive
22000236,20041373.0,2025-04-20 12:12:17,4.0,5,2,3,1.6,Positive
22000237,20042987.0,2025-12-12 23:22:23,1.0,4,2,2,2.5,Negative
22000238,20041254.0,2024-10-26 11:12:21,4.0,2,5,3,2.6,Positive
22000239,20022435.0,2023-08-06 10:33:45,2.0,2,5,4,1.1,Positive
22000240,20126345.0,2024-11-28 17:03:57,2.0,4,1,3,3.8,Positive
22000241,20114201.0,2024-02-27 14:58:53,3.0,5,1,2,4.8,Positive
22000242,20029585.0,2025-05-30 19:25:36,5.0,4,5,1,1.0,Positive
22000243,20058474.0,2023-03-25 20:27:39,1.0,2,2,1,3.5,Neutral
22000244,20064284.0,2025-05-30 03:38:16,4.0,4,3,2,4.3,Positive
22000245,20050082.0,2025-10-24 00:42:49,1.0,2,5,1,4.7,Neutral
22000246,20108617.0,2025-01-25 07:47:11,3.0,1,4,4,1.0,Positive
22000247,20073135.0,2024-10-16 23:12:14,2.0,5,5,1,1.4,Positive
22000248,20111929.0,2024-06-30 06:27:13,2.0,5,5,5,2.5,Neutral
22000249,20011770.0,2025-11-09 00:03:54,3.0,2,4,4,4.3,Negative
22000250,20077021.0,2025-08-19 02:57:37,4.0,3,4,5,3.3,Positive
22000251,20050766.0,2024-04-14 04:48:28,3.0,5,1,5,2.7,Negative
22000252,20085973.0,,5.0,2,5,1,1.8,Positive
22000253,20129927.0,2025-04-17 07:27:12,2.0,3,3,1,3.0,Positive
22000254,20033006.0,2025-02-28 11:17:47,1.0,5,4,2,4.4,Positive
22000255,20047740.0,2024-07-29 12:16:28,3.0,1,4,4,3.9,Neutral
22000256,20057158.0,2023-11-12 04:44:01,4.0,3,1,5,2.4,Positive
22000257,20071328.0,2023-02-05 22:10:03,5.0,3,4,3,1.1,Positive
22000258,20126176.0,2024-08-29 07:19:50,1.0,5,4,1,2.1,Neutral
22000259,20084050.0,2025-03-01 17:02:37,2.0,5,2,4,4.1,Neutral
22000260,20110043.0,2025-08-03 12:44:36,3.0,1,1,3,4.6,POSITIVE
22000261,20002695.0,2024-05-12 07:47:28,3.0,2,4,4,1.2,Positive
22000262,20047412.0,2023-08-12 12:18:40,1.0,5,3,5,1.8,Positive
22000263,20118727.0,2025-08-17 07:53:36,2.0,5,3,2,4.8,Neutral
22000264,20049654.0,2025-02-07 10:42:20,2.0,5,3,4,2.1,Neutral
22000265,20000157.0,2024-06-22 21:40:53,3.0,3,5,2,1.3,Positive
22000266,20111845.0,2024-04-28 04:31:10,5.0,1,1,2,4.1,Negative
22000267,20027979.0,2023-12-14 04:57:40,4.0,4,1,4,1.8,Negative
22000268,20034069.0,2024-02-18 16:54:20,1.0,1,3,1,3.9,Negative
22000269,20001218.0,2025-05-14 14:16:04,2.0,1,1,4,4.0,Neutral
