Stay_ID,Booking_ID,Checkin_Date,Room_Type,Room_Revenue,Food_Revenue,Spa_Revenue,Other_Revenue,Checkout_Date
21000001,20027307,2025-07-01 04:55:08,Suite,109240.54,41339.57,21554.24,7968.64,2025-07-06 04:55:08
21000002,20071534,2024-03-24 21:29:52,Villa,5187.09,6842.63,24775.5,1622.78,2024-04-05 21:29:52
21000003,20004097,2023-03-12 04:18:07,Standard,130996.58,47179.04,4966.58,8757.48,2023-03-17 04:18:07
21000004,20113713,2023-04-07 02:38:30,Villa,33092.25,7989.36,10923.37,7741.67,2023-04-19 02:38:30
21000005,20094347,2024-02-08 19:18:23,Deluxe,45309.91,16341.08,27690.37,5231.95,2024-02-20 19:18:23
21000006,20020652,2024-08-01 04:06:16,Deluxe,140815.61,48965.86,11471.72,13133.48,2024-08-02 04:06:16
21000007,20060105,2024-09-28 22:47:05,Suite,146128.63,39331.63,6144.39,1544.82,2024-10-06 22:47:05
21000008,20063555,2025-09-04 11:51:09,Suite,76766.9,1586.21,21865.69,13244.41,2025-09-06 11:51:09
21000009,20121174,2023-04-06 20:02:57,Deluxe,117985.95,48150.4,253.84,6939.92,2023-04-19 20:02:57
21000010,20039980,2023-10-09 08:24:29,Executive,70750.91,33204.47,19755.81,14846.6,2023-10-20 08:24:29
21000011,20042213,2024-11-09 11:45:56,Deluxe,85766.44,13261.35,18874.22,6162.25,2024-11-20 11:45:56
21000012,20013852,2024-11-10 14:40:17,Villa,117300.4,17874.76,22737.14,12415.82,2024-11-24 14:40:17
21000013,20080330,2025-08-26 18:18:54,Villa,85841.17,40113.75,19110.7,12807.38,2025-09-05 18:18:54
21000014,20034294,2023-12-14 14:14:21,Standard,79280.1,29166.57,22998.22,1728.06,2023-12-23 14:14:21
21000015,20078921,2023-09-17 19:37:54,Deluxe,47518.4,623.41,13153.3,5721.88,2023-09-25 19:37:54
21000016,20052322,2025-07-04 20:49:24,Suite,72215.11,48341.3,28414.14,4851.33,2025-07-05 20:49:24
21000017,20006248,2024-07-22 17:05:33,Deluxe,76402.01,12011.49,2618.57,4871.97,2024-08-01 17:05:33
21000018,20095523,2024-03-27 03:20:04,Standard,147771.18,21744.02,23058.4,7528.91,2024-04-01 03:20:04
21000019,20017392,2025-07-17 23:31:38,Villa,85767.39,29170.6,27641.28,5969.15,2025-07-23 23:31:38
21000020,20000696,2025-09-02 09:38:36,Deluxe,123138.21,5602.79,19419.55,14319.19,2025-09-07 09:38:36
21000021,20003305,2024-09-11 02:08:38,Suite,45442.57,30915.62,29901.02,4182.63,2024-09-25 02:08:38
21000022,20001630,2025-02-10 04:12:47,Suite,57661.55,4106.53,3236.77,4545.34,2025-02-24 04:12:47
21000023,20043827,2023-12-05 00:28:42,Deluxe,129280.59,15165.88,109.79,7968.64,2023-12-18 00:28:42
21000024,20025394,2025-01-23 04:51:20,Villa,48330.78,7562.48,8663.31,7816.55,2025-01-28 04:51:20
21000025,20026387,2025-02-10 23:26:12,Standard,25331.74,44936.52,13509.99,8015.9,2025-02-23 23:26:12
21000026,20006292,2025-10-22 01:38:46,Villa,130182.57,35202.12,5786.0,13410.61,2025-11-01 01:38:46
21000027,20120884,2024-07-28 23:55:34,Executive,87582.24,15067.04,19436.29,11497.57,2024-08-10 23:55:34
21000028,20116343,2024-07-01 12:48:07,Deluxe,60115.42,32411.8,13507.94,3645.08,2024-07-11 12:48:07
21000029,20051669,2023-07-09 18:34:49,Standard,142737.01,7959.17,18829.01,13726.83,2023-07-12 18:34:49
21000030,20029973,2024-01-14 19:57:26,Suite,129251.82,23802.07,3198.0,1433.55,2024-01-28 19:57:26
21000031,20004902,2025-06-30 00:27:22,Deluxe,142519.24,18637.84,15503.06,8973.73,2025-07-14 00:27:22
21000032,20082648,2023-07-26 22:34:43,Suite,118974.63,37143.94,27746.54,7423.27,2023-08-05 22:34:43
21000033,20000825,2024-02-04 13:05:42,Executive,11076.1,49021.99,621.54,5678.05,2024-02-10 13:05:42
21000034,20045443,2024-06-13 16:25:52,Executive,76749.68,29524.03,21866.53,13767.57,2024-06-27 16:25:52
21000035,20084630,2023-05-02 13:08:06,Standard,71659.09,35101.37,13030.2,10889.0,2023-05-13 13:08:06
21000036,20080862,2023-10-27 19:56:49,Standard,64218.76,14106.02,6342.42,11447.0,2023-10-29 19:56:49
21000037,20028232,2024-09-25 00:16:22,Villa,59626.3,7148.06,1732.84,5623.74,2024-09-29 00:16:22
21000038,20015317,2024-12-19 01:29:54,Executive,104086.84,40335.38,13747.27,6083.2,2024-12-31 01:29:54
21000039,20000073,2024-10-19 15:43:54,Deluxe,107965.95,12486.22,24408.99,4353.22,2024-10-20 15:43:54
21000040,20054616,2024-07-18 13:37:43,Suite,61710.01,36428.32,14703.37,10519.31,2024-07-29 13:37:43
21000041,20123667,2024-03-24 19:46:47,Villa,9860.47,24241.21,14131.12,13039.5,2024-03-29 19:46:47
21000042,20079511,2025-12-20 07:36:34,Executive,143149.69,37933.84,23002.39,13228.02,2025-12-27 07:36:34
21000043,20123858,2024-01-04 07:15:23,Villa,21896.37,16926.75,17807.43,3269.11,2024-01-16 07:15:23
21000044,20126623,2023-04-14 16:06:06,Standard,120417.84,17372.5,8839.06,13728.19,2023-04-26 16:06:06
21000045,20032087,2025-04-06 06:50:00,Villa,81654.59,29469.59,13856.77,12658.74,2025-04-11 06:50:00
21000046,20086747,2023-11-24 00:34:23,Villa,48988.54,49804.42,15241.17,3891.79,2023-12-03 00:34:23
21000047,20102057,2025-04-23 20:12:06,Villa,48975.59,34867.71,20074.92,14610.09,2025-04-26 20:12:06
21000048,20126498,2024-03-28 23:52:41,Standard,134142.78,6430.87,19342.05,8778.31,2024-04-04 23:52:41
21000049,20046027,2023-03-15 11:50:51,Suite,133791.69,4336.51,20211.31,13998.11,2023-03-19 11:50:51
21000050,20124323,2024-06-25 17:48:36,Suite,54388.11,26311.92,17226.58,10595.54,2024-07-01 17:48:36
21000051,20090093,2025-09-30 05:31:53,Executive,135020.02,13459.8,14312.18,13254.89,2025-10-11 05:31:53
21000052,20037717,2024-11-23 11:41:41,Suite,19190.94,4391.64,22481.74,14224.72,2024-12-07 11:41:41
21000053,20110697,2023-01-18 09:03:29,Villa,49172.32,5681.42,14543.28,451.81,2023-01-20 09:03:29
21000054,20044174,2024-03-13 07:54:05,Deluxe,113456.7,36932.29,15300.34,7813.14,2024-03-25 07:54:05
21000055,20013873,2023-11-18 20:45:58,Deluxe,58209.0,39905.12,17393.44,7089.55,2023-11-29 20:45:58
21000056,20004017,2023-08-08 06:35:00,Deluxe,109319.77,32728.95,4633.58,7734.81,2023-08-14 06:35:00
21000057,20064878,2023-09-22 07:34:15,Suite,113752.13,21840.83,12467.44,13513.47,2023-09-29 07:34:15
21000058,20039367,2023-12-10 04:08:12,Deluxe,39949.9,45227.77,9844.42,9608.9,2023-12-19 04:08:12
21000059,20006237,2024-02-08 08:02:39,Suite,34622.36,9613.83,7837.88,6959.33,2024-02-22 08:02:39
21000060,20028902,2024-08-20 16:39:36,Deluxe,28288.63,8322.23,25993.84,6688.6,2024-08-29 16:39:36
21000061,20041475,2025-03-19 05:45:54,Standard,111155.73,32186.14,15943.58,1894.09,2025-03-20 05:45:54
21000062,20045953,2025-09-24 15:35:34,Standard,91327.23,16443.65,11898.16,12824.21,2025-09-27 15:35:34
